Priority,Lead Type,Company / Entity,Contact Person,Area / Locality,City / District,State,Phone,Email,Website,Why It Matters,Source 1,Source 2,Notes
21,Manufacturer / exporter / supplier,Mithila Makhana,Ayush Kumar,"Punaichak Road No. 1, Bailey Road",Patna,Bihar,,mithilamakhana279@gmail.com,https://www.mithilamakhana.co.in/,Patna-based manufacturer/exporter/supplier with bulk-grade makhana and exporter positioning.,https://www.mithilamakhana.co.in/,https://www.mithilamakhana.co.in/contact-us.htm,Email visible; phone is hidden behind view-number.
22,Brand / wholesale supplier,Mithila Makhana Pvt. Ltd.,,"ICICI Bank, Gandhi Chowk",Madhubani,Bihar,+91 94728 02233; +91 97983 24281,info@mithilafoxnuts.com; makhana.mithila@gmail.com,https://mithilafoxnuts.com/contact/,Premium consumer and wholesale makhana brand with direct bulk/wholesale FAQ and visible buyer contacts.,https://mithilafoxnuts.com/contact/,,Good bridge between branded and bulk channels.
23,Farm-to-market supplier,Mithila Agri Foods,,"Vill Mahathwar, Ghanshyampur",Darbhanga,Bihar,+91 9540514448; +91 9717566230,info@mithilaagrifoods.com,https://mithilaagrifoods.com/makhana/,Agri-products supplier directly listing makhana with bulk call-to-action and Darbhanga operations.,https://mithilaagrifoods.com/makhana/,,Good Darbhanga trade lead.
24,Manufacturer / supplier,Mithila Makhana Udyog,,"Satlakha, Rahika",Madhubani,Bihar,6202566163; 7549472796,mithilamakhanaudyog@gmail.com,https://www.mithilamakhanaudyog.com/,Active Madhubani-based makhana supplier with direct office contact details and local processing positioning.,https://www.mithilamakhanaudyog.com/,,Useful for source-region trade relationships.
25,Farmer-owned brand / processing lead,Makhana Farm / Bihar Makhana,,Beloun,Darbhanga,Bihar,+91 9711124486,info@makhanafarm.com,https://www.makhanafarm.com/makhana-contact,Farmer-owned makhana brand with processing-unit contact and strong collective/farmer-owned positioning.,https://www.makhanafarm.com/makhana-contact,https://makhana.org.in/contact-us/,Could be relevant for larger organized sourcing or placement.
26,Brand / B2B supplier,MBA Makhana Wala,,"B-HUB Block A, Maurya Lok Complex",Patna,Bihar,+91 7905613306,contact@mbamakhanawala.com,https://www.mbamakhanawala.com/,"Emerging Patna brand with franchise and B2B posture, suitable for channel or placement conversations.",https://www.mbamakhanawala.com/,,Useful for packaged/brand channel exploration.
27,Manufacturer / trader / distributor,Maruti Makhana,Vikram Kumar; Shreya Raj,Bara Bazar / Cosmos Building,Madhubani,Bihar,9534343449; 08048950916,,https://marutimakhana.com/contact/,Large established makhana player with trading and manufacturing history and significant market presence.,https://marutimakhana.com/contact/,https://www.marutimakhana.in/,"Well-known operator; IndiaMART number is proxy, direct phone from website preferred."
28,Manufacturer / supplier,S S Mithila Makhana,Chandan Kumar,Jhanjharpur,Madhubani,Bihar,+91 8292706016,Kumar.chandan0301@gmail.com,https://www.ssmithilamakhana.co.in/,"Fresh Madhubani supplier with direct mobile and email, suitable for rapid outreach.",https://www.ssmithilamakhana.co.in/,,Useful source-region counterpart or channel buyer.
29,Manufacturer / exporter,ST Makhana,Aman Shah,"Sahu Market, Mirsafayat Road, Purani Godam",Gaya,Bihar,+91 8969825158,Stmakhana.info@gmail.com,https://www.stmakhana.com/,Export-oriented bulk supplier with certifications and explicit domestic/international enquiry desk.,https://www.stmakhana.com/,,Website markets Purnia sourcing but contact office appears in Gaya.
30,Manufacturer / supplier,Makhana Haat,,"Kamat, Post Mirganj, Block Dhamdaha",Purnia,Bihar,+91 9241306012,makhanahaat@gmail.com,https://makhanahaat.com/,Dedicated Purnia supplier serving wholesalers and distributors nationwide with custom packaging.,https://makhanahaat.com/,,Strong East Bihar lead.
31,Manufacturer / wholesale supplier,KBC Makhana,Saransh Agarwal,"Bara Bazar, Durgapur; Tajganj; Harda Bazar",Katihar / Purnia,Bihar,(06452) 248601; 242601; +91 8298877777; 7903618839,care@kbcmakhana.com,https://kbcmakhana.com/,Katihar-Purnia cluster player with clear brand portfolio and routes into South India and Assam.,https://kbcmakhana.com/,,"Website says marketed in South India and Assam via TruePDI Automotive Pvt Ltd, Bhubaneswar."
32,Manufacturer / processing unit,NutVatika,,"Dandkhora Ward -07, Seemanchal Makhana Processing Unit",Katihar,Bihar,+91 7992205609,info@nutvatika.com,https://nutvatika.com/contact/,Modern makhana processing unit with private label and bulk supply positioning.,https://nutvatika.com/contact/,https://nutvatika.com/,Strong East Bihar lead.
33,Wholesaler / exporter / trader,Manju Makhana Enterprises,,Sapta,Madhubani,Bihar,+91 9431085885; 9031585885; 7004275161,manjuudyog@gmail.com,https://manjumakhana.in/,Long-running trader/exporter of makhana and dry fruits with multiple in-house brands.,https://manjumakhana.in/,,High-confidence supplier and trade lead.
34,Farmer producer organization / GI makhana lead,Mkhaan / MIDAS Farmer Producer Company,Rajeev Ranjan,Darbhanga,Darbhanga,Bihar,+91 9910194934,midasfpo@gmail.com,https://www.prathma.com/about,Farmer-owned organization focused on GI-tagged Darbhanga makhana and market access for member growers.,https://www.prathma.com/about,,Useful for organized sourcing and farm-network partnerships.
35,Wholesaler / distributor,Guru Kripa,Yash Banthia,"67/40 Strand Road, Bara Bazar",Kolkata,West Bengal,08043854737,,https://www.gkkajuwala.com/,Large Kolkata dry-fruits wholesaler already listing makhana with product detail and contact person.,https://www.gkkajuwala.com/makhana.html,https://www.gkkajuwala.com/,IndiaMART proxy phone.
36,Trader / wholesaler / distributor,Shivji Trading Company,,Kolkata,Kolkata,West Bengal,07942656365,,https://www.shivjitradingcompany.com/dry-fruits.html,Dry fruit wholesaler listing 5 suta quality makhana among core products.,https://www.shivjitradingcompany.com/dry-fruits.html,,Proxy contact number from listing.
37,Dry fruits wholesaler,American Dry Fruits,,"1A Flower Range, Near Globe Cinema, New Market",Kolkata,West Bengal,033 65180307; 09433151118,,https://www.qa.jupiteryellowdetail.com/Kolkata/search-by-listings/food-shops-/new-market-/american-dry-fruits/505536.jws,Established Kolkata dry-fruit trader in New Market; plausible large-quantity channel buyer.,https://www.qa.jupiteryellowdetail.com/Kolkata/search-by-listings/food-shops-/new-market-/american-dry-fruits/505536.jws,,General dry-fruit channel lead rather than makhana specialist.
38,Exporter / supplier,DSQ EXIM,,"3rd, 9A Dr Naresh Sen Gupta Sarani",Kolkata,West Bengal,+91 9830352000,info@dsqexim.com,https://makhana.linker.store/,Kolkata-based export-oriented supplier with dedicated foxnut product page and direct contact.,https://makhana.linker.store/,,Good export/channel lead.
39,Exporter / bulk supplier,BPSA Global,,"West Santinagar, Sapuipara, PO Anandanagar",Howrah,West Bengal,+91 9507119793; +91 7003962909,directors@bpsaglobal.com,https://bpsaglobal.com/,Howrah-based export supplier explicitly selling 4 and 5 suta makhana in bulk.,https://bpsaglobal.com/,,Source details captured from search snippet due page timeout.
40,Trader / food products seller,Guruji Traders,,"Reba Abusand, 66 Dakshinpara Road",Kolkata,West Bengal,,souravbusinessofficial79@gmail.com,https://gurujitraders.com/product/makhana.php,Kolkata seller listing makhana alongside nuts and imported dry-fruit products.,https://gurujitraders.com/product/makhana.php,,Email-only contact visible.
41,Wholesale market / channel lead,Siliguri Wholesale Market,,"Champasari More, Opposite Triveni Lodge",Siliguri,West Bengal,+91 7001622692,siliguriwholesalemarket@gmail.com,https://www.siliguriwholesale.com/fruits-amp-nuts,"Siliguri wholesale platform for fruits and nuts, useful for North Bengal channel placement.",https://www.siliguriwholesale.com/fruits-amp-nuts,,Good North Bengal market-distribution lead.
42,Bulk supplier / exporter,Nature To Home Agro,,Supplier page serving Siliguri market,Siliguri,West Bengal,+91 9661823537,help@naturetohomeagro.com,https://www.naturetohomeagro.com/siliguri,Bulk makhana and cashew supplier marketing directly to Siliguri wholesalers and exporters.,https://www.naturetohomeagro.com/siliguri,https://www.naturetohomeagro.com/siliguri/dried-raisins.html,"Physical office listed in Bihar, but page explicitly targets Siliguri market."
43,Dry-fruit retailer / bulk lead,Fruits Baggy,,"Plot No - 386, Patia",Bhubaneswar,Odisha,+91 6370981846,fruitsbaggy@gmail.com,https://fruitsbaggy.com/contact/,"Bhubaneswar dry-fruit/nuts seller already listing makhana product, useful as Odisha channel lead.",https://fruitsbaggy.com/contact/,https://fruitsbaggy.com/product/makhana/,Useful Odisha retail/wholesale channel.
44,Healthy snacks brand / channel buyer,Nutriboat Super Foods Pvt. Ltd.,,"Plot-488(P), Balitota Sahi, Nayapalli",Bhubaneswar,Odisha,+91 8847881590; +91 9078937219; +91 7749932339,nutriboat.direct@gmail.com,https://www.nutriboat.in/about.php,Odisha healthy-snacks brand already selling multiple roasted makhana flavors.,https://www.nutriboat.in/about.php,,"Good for private label, contract roasting, or channel discussions."
45,Retail / trading lead,Devi Sales,,"138, Lane No 10, Bapuji Nagar",Bhubaneswar,Odisha,+91 9337100043,kvr484@gmail.com,https://www.devisales.co.in/search/raw-makhana/1,"Bhubaneswar trader explicitly listing raw makhana, popped lotus seeds, and healthy snack products.",https://www.devisales.co.in/search/raw-makhana/1,,Good direct Odisha trade lead.
46,Regional marketing / channel lead,TRUEPDI Automotive Private Limited,,Bhubaneswar,Bhubaneswar,Odisha,,info@truepdi.com,https://kbcmakhana.com/,"KBC Makhana lists this Bhubaneswar company as marketing contact for South India and Assam, making it a useful regional route-to-market lead.",https://kbcmakhana.com/,,Email visible via KBC snippet; phone not publicly visible in source used.
47,Exporter / agro trader,Shree Balaji Global Trade,,"H No. 12 Gunmay Colony, Mango",Jamshedpur,Jharkhand,+91 9835756779; +91 9431171002; +91 7667558908,info@shreebalajiglobaltrade.com,https://shreebalajiglobaltrade.com/detail.php?id=NA%3D%3D,Jharkhand exporter actively listing makhana / foxnut and agro products with direct phone and email.,https://shreebalajiglobaltrade.com/detail.php?id=NA%3D%3D,,Strong Jharkhand lead.
48,Exporter,JJMB GIMEX Pvt. Ltd.,,"JJ Complex, Kamre",Ranchi,Jharkhand,,jjmbgimex1617@gmail.com,https://jjmbgimex.com/,Ranchi exporter explicitly positioning itself as premium makhana exporter for global markets.,https://jjmbgimex.com/,,Email visible; phone not shown in accessible snippet.
49,Exporter / food products lead,Waratahub,,"Hatigaon Bishnujyoti Path, House No. 42",Guwahati,Assam,+91 8638143065; 9394461131,hubwaratah@gmail.com,https://waratahexportindia.com/products.php?id=3,Guwahati-based exporter with dry-fruit category and direct contact details; useful for Assam entry.,https://waratahexportindia.com/products.php?id=3,,Assam channel/export lead.
50,Exporter / spices and seeds supplier,Good Food Overseas,,"House No 11, Lakshmi Niwas",Guwahati,Assam,+91 8638198950,info@goodfoodoverseas.com,https://www.goodfoodoverseas.com/,Guwahati exporter brochure explicitly lists makhana among spices and seeds export products.,https://5.imimg.com/data5/SELLER/Doc/2025/2/491074851/RX/ID/AL/132641395/makhana.pdf,https://www.goodfoodoverseas.com/,Good Assam export lead.
51,Exporter / wholesaler,DHAR WORLDWIDE EXPORTS,Premdip Dhar,"1st Floor, GMC House No. 27, Pragati Path (Lane-2), Odalbakra",Guwahati,Assam,(+91) 9004653289,premdip@dharworldwideexports.com,https://dharworldwideexports.linker.store/pages/about-us,"Guwahati exporter with offices in Assam and Kolkata, focused on dry fruits and export trade.",https://dharworldwideexports.linker.store/pages/about-us,,Strong Assam export/contact lead.
52,Retail / local market lead,JRD Mithila Makhana,,"House No.79, Rupkonwar Path, VIP Road, Chachal, Sixmile",Guwahati,Assam,,,https://id.vyaparify.com/jrdmithilamakhana,Premium Guwahati makhana store with verified address and local retail presence for Assam market access.,https://id.vyaparify.com/jrdmithilamakhana,,Address visible; no direct phone exposed in accessible page.
